"","CO2","NH3","NO","NO2","NOx","O3","PM1","PM2.5","PM10","PN10"
"gemessen_Schall","17.2369921333769","15.7197494028836","19.5378010960302","19.5171510803019","31.0747216922645","14.9283205213298","0.0162660572908257","0.0186603749622642","0.0814950453762376","23271.5120740068"
"gemessen_Verkehr","17.5761558468598","18.3750340490134","23.8455246665766","20.5316200621429","40.0420813849093","11.4779608973266","0.0132427199330097","0.0196454569290909","0.0844722350658333","21609.0062664984"
"gemessen_Zeit","17.5473601886685","12.1170309588438","19.6072566607153","15.5604535287608","38.3906822852436","13.9968880592478","0.0133333327638889","0.019207550059434","0.0991764707990196","24409.1526064256"
"Schall","17.2918166106077","13.861478425887","19.2612281012857","21.3079433070377","35.1975014955781","19.3109053898155","0.0129545159521651","0.0195704015183962","0.0868558579405941","15865.9657829774"
"Verkehr","17.5839087872128","22.1403859668752","20.6737476779145","20.1736245899829","16.269457213881","8.3711159268899","0.0126068738446602","0.0140875917090909","0.0788149728336389","21653.3458142926"
"Zeit","16.8081319901288","15.898393507","16.4453473991802","15.5218671216763","36.672914989497","13.1979183491122","0.0114552485968519","0.0235608680849057","0.0862187053167647","24349.6802604538"
"scaleMin","16","10","15","10","10","0","0.01","0.01","0.01","10000"
"ScaleMAx","20","25","25","30","50","25","0.02","0.03","0.1","30000"
"Einheit","mmol m&#x207B&#x00B3","ppb","ppb","ppb","ppb","ppb","mg m&#x207B&#x00B3","mg m&#x207B&#x00B3","mg m&#x207B&#x00B3","n m&#x207B&#x00B3"
